Shop_Name,Image_URL,Status,Address,Latitude,Longitude,Opens,Closes,Phone,Comments,Product_1,Price_1,Product_2,Price_2,Rating
Verma Clothing Shop 1,https://tse4.mm.bing.net/th/id/OIP.ppUwxYEpP1OIl4vE7emrNwHaEi?rs=1&pid=ImgDetMain&o=7&rm=3,Scraped,"35 Arya Nagar, Kanpur",26.4228,80.3546,10:00 AM,8:00 PM,9402044073,Good service,Saree,1500,T-shirt,500,4.5
Singh Salon Shop 2,https://tse4.mm.bing.net/th/id/OIP.ppUwxYEpP1OIl4vE7emrNwHaEi?rs=1&pid=ImgDetMain&o=7&rm=3,Registered,"98 Mall Road, Kanpur",26.4716,80.3236,11:00 AM,7:00 PM,9733080171,Good service,Facial,500,Haircut,200,4
Mishra Grocery Shop 3,https://tse4.mm.bing.net/th/id/OIP.ppUwxYEpP1OIl4vE7emrNwHaEi?rs=1&pid=ImgDetMain&o=7&rm=3,Scraped,"6 Arya Nagar, Kanpur",26.4679,80.3342,9:00 AM,9:00 PM,9108594508,Good service,Milk (1L),50,Rice (10kg),500,4.8
Mishra Clothing Shop 4,https://tse4.mm.bing.net/th/id/OIP.ppUwxYEpP1OIl4vE7emrNwHaEi?rs=1&pid=ImgDetMain&o=7&rm=3,Registered,"148 M.G. Road, Kanpur",26.4607,80.3475,11:00 AM,8:00 PM,9566999491,Good service,Women's Kurti,800,Men's Jeans,1200,3.9
Yadav Restaurant Shop 5,https://via.placeholder.com/150,Scraped,"193 M.G. Road, Kanpur",26.4478,80.339,9:00 AM,10:00 PM,9457237231,Affordable prices,Paneer Butter Masala,250,Chicken Biryani,300,4.8
Pandey Electronics Shop 6,https://tse4.mm.bing.net/th/id/OIP.ppUwxYEpP1OIl4vE7emrNwHaEi?rs=1&pid=ImgDetMain&o=7&rm=3,Scraped,"90 Civil Lines, Kanpur",26.4855,80.35,10:00 AM,8:00 PM,9961174267,Affordable prices,Smartphone,20000,LED TV,15000,4.6
Gupta Stationery Shop 7,https://tse4.mm.bing.net/th/id/OIP.ppUwxYEpP1OIl4vE7emrNwHaEi?rs=1&pid=ImgDetMain&o=7&rm=3,Registered,"121 Civil Lines, Kanpur",26.4583,80.326,9:00 AM,9:00 PM,9317262178,Good service,Pencil Box,100,Pen,20,4.7
Sharma Grocery Shop 8,https://via.placeholder.com/150,Registered,"21 M.G. Road, Kanpur",26.4592,80.3134,10:00 AM,9:00 PM,9644544282,Affordable prices,Cooking Oil (1L),150,Rice (10kg),500,4.7
Sharma Grocery Shop 9,https://tse4.mm.bing.net/th/id/OIP.ppUwxYEpP1OIl4vE7emrNwHaEi?rs=1&pid=ImgDetMain&o=7&rm=3,Scraped,"16 Civil Lines, Kanpur",26.436,80.3409,8:00 AM,7:00 PM,9976240253,Customer friendly,Wheat (10kg),400,Cooking Oil (1L),150,4.7
Gupta Restaurant Shop 10,https://via.placeholder.com/150,Scraped,"159 Arya Nagar, Kanpur",26.4192,80.3801,8:00 AM,7:00 PM,9642492698,Good service,Thali,150,Chicken Biryani,300,4.7
Verma Clothing Shop 11,https://tse4.mm.bing.net/th/id/OIP.ppUwxYEpP1OIl4vE7emrNwHaEi?rs=1&pid=ImgDetMain&o=7&rm=3,Scraped,"189 Civil Lines, Kanpur",26.4526,80.3812,9:00 AM,9:00 PM,9433518532,Good service,Men's Jeans,1200,Saree,1500,4.1
Pandey Stationery Shop 12,https://via.placeholder.com/150,Registered,"40 Kidwai Nagar, Kanpur",26.4672,80.3381,11:00 AM,10:00 PM,9269630816,Customer friendly,Pencil Box,100,Pen,20,4.7
Sharma Restaurant Shop 13,https://via.placeholder.com/150,Registered,"37 Kakadeo, Kanpur",26.4775,80.3863,8:00 AM,7:00 PM,9806396196,Affordable prices,Chicken Biryani,300,Paneer Butter Masala,250,4.7
Sharma Restaurant Shop 14,https://tse4.mm.bing.net/th/id/OIP.ppUwxYEpP1OIl4vE7emrNwHaEi?rs=1&pid=ImgDetMain&o=7&rm=3,Scraped,"149 Arya Nagar, Kanpur",26.4332,80.3515,11:00 AM,8:00 PM,9599057103,Customer friendly,Paneer Butter Masala,250,Cold Drink,40,4.7
Mishra Salon Shop 15,https://via.placeholder.com/150,Registered,"42 Kidwai Nagar, Kanpur",26.4484,80.3164,11:00 AM,10:00 PM,9935742780,Highly recommended,Hair Color,600,Haircut,200,4.7
Gupta Medical Shop 16,https://i.pinimg.com/originals/ab/62/42/ab62421fa9d6d51768d4a8396f2a3aad.jpg,Registered,"197 Kidwai Nagar, Kanpur",26.4688,80.3689,11:00 AM,9:00 PM,9505035923,Affordable prices,Hand Sanitizer,80,First Aid Kit,400,4.7
Kumar Grocery Shop 17,https://via.placeholder.com/150,Scraped,"196 Civil Lines, Kanpur",26.4549,80.3756,9:00 AM,10:00 PM,9934879726,Affordable prices,Wheat (10kg),400,Rice (10kg),500,4.7
Verma Restaurant Shop 18,https://i.pinimg.com/originals/ab/62/42/ab62421fa9d6d51768d4a8396f2a3aad.jpg,Registered,"180 Kidwai Nagar, Kanpur",26.4832,80.3194,9:00 AM,8:00 PM,9723579810,Highly recommended,Cold Drink,40,Chicken Biryani,300,4.7
Yadav Salon Shop 19,https://via.placeholder.com/150,Registered,"17 P. Road, Kanpur",26.4107,80.3762,8:00 AM,7:00 PM,9616091436,Customer friendly,Haircut,200,Hair Color,600,4.7
Kumar Medical Shop 20,https://via.placeholder.com/150,Registered,"141 P. Road, Kanpur",26.4103,80.3299,9:00 AM,9:00 PM,9408909824,Affordable prices,Vitamin C,120,Hand Sanitizer,80,4.7
Singh Salon Shop 21,https://via.placeholder.com/150,Registered,"147 Arya Nagar, Kanpur",26.4818,80.3666,11:00 AM,7:00 PM,9523648964,Good service,Facial,500,Hair Color,600,4.7
Sharma Electronics Shop 22,https://via.placeholder.com/150,Registered,"198 Kidwai Nagar, Kanpur",26.4317,80.3758,9:00 AM,7:00 PM,9835839402,Customer friendly,Laptop,45000,Smartphone,20000,4.7
Gupta Salon Shop 23,https://via.placeholder.com/150,Registered,"110 Arya Nagar, Kanpur",26.4296,80.3533,11:00 AM,9:00 PM,9674060210,Highly recommended,Shaving,100,Haircut,200,4.7
Gupta Salon Shop 24,https://via.placeholder.com/150,Scraped,"101 P. Road, Kanpur",26.4882,80.373,11:00 AM,8:00 PM,9595331751,Highly recommended,Facial,500,Hair Color,600,4.7
Kumar Grocery Shop 25,https://i.pinimg.com/originals/ab/62/42/ab62421fa9d6d51768d4a8396f2a3aad.jpg,Registered,"43 Civil Lines, Kanpur",26.4664,80.3772,9:00 AM,9:00 PM,9893532429,Good service,Milk (1L),50,Wheat (10kg),400,4.7
Kumar Clothing Shop 26,https://via.placeholder.com/150,Registered,"68 Civil Lines, Kanpur",26.4428,80.3431,8:00 AM,9:00 PM,9497657372,Customer friendly,Men's Jeans,1200,Saree,1500,4.7
Mishra Electronics Shop 27,https://i.pinimg.com/originals/ab/62/42/ab62421fa9d6d51768d4a8396f2a3aad.jpg,Scraped,"112 Arya Nagar, Kanpur",26.4783,80.3812,11:00 AM,7:00 PM,9921267129,Customer friendly,Bluetooth Speaker,2000,Laptop,45000,4.7
Gupta Hardware Shop 28,https://via.placeholder.com/150,Registered,"174 Kakadeo, Kanpur",26.4867,80.3324,9:00 AM,9:00 PM,9577460151,Highly recommended,Wrench,200,Drill Machine,2500,4.7
Gupta Stationery Shop 29,https://via.placeholder.com/150,Registered,"199 Mall Road, Kanpur",26.4429,80.3753,8:00 AM,8:00 PM,9605473705,Affordable prices,Marker,40,Notebook,60,4.7
Yadav Grocery Shop 30,https://i.pinimg.com/originals/ab/62/42/ab62421fa9d6d51768d4a8396f2a3aad.jpg,Scraped,"14 Civil Lines, Kanpur",26.4166,80.3221,10:00 AM,10:00 PM,9614074811,Customer friendly,Cooking Oil (1L),150,Rice (10kg),500,4.7
